I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,DS,DS_perc,metric,cell_1,cell_2,cell_3
I1_SDG_16.1.4,I2_DS_1.4.1,I3_DS_2.1.2,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_unexpect_expense,I9_SDG_1.4.2,I10_DS_5.1.1,0,0,Pass/fail,NA,NA,NA
I1_SDG_16.1.4,I2_DS_1.4.1,I3_DS_2.1.2,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_unexpect_expense,I9_SDG_1.4.2,I10_DS_5.1.1,296,0.3152289669861555,1: Full composite,NA,NA,NA
I1_SDG_16.1.4,I2_DS_1.4.1,I3_DS_2.1.2,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_unexpect_expense,I9_SDG_1.4.2,I10_DS_5.1.1,7,0.007454739084132056,2: Composite at criterion level,NA,NA,NA
I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,0,0,3: Composite at subcriterion level,NA,NA,NA
I1_SDG_16.1.4,I2_DS_1.4.1,I3_DS_2.1.2,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_unexpect_expense,I9_SDG_1.4.2,I10_DS_5.1.1,0,0,4: Homogeneous cells,HH_disp_type,HH_origin_district,HH_depart_yr
I1_SDG_16.1.4,I2_DS_1.4.1,I3_DS_2.1.2,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_unexpect_expense,I9_SDG_1.4.2,I10_DS_5.1.1,0,0,4: Homogeneous cells,HH_disp_type,HH_origin_district,HH_gender
I1_SDG_16.1.4,I2_DS_1.4.1,I3_DS_2.1.2,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_unexpect_expense,I9_SDG_1.4.2,I10_DS_5.1.1,0,0,4: Homogeneous cells,HH_disp_type,HH_origin_district,HH_clan
I1_SDG_16.1.4,I2_DS_1.4.1,I3_DS_2.1.2,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_unexpect_expense,I9_SDG_1.4.2,I10_DS_5.1.1,0,0,4: Homogeneous cells,HH_disp_type,HH_depart_yr,HH_gender
I1_SDG_16.1.4,I2_DS_1.4.1,I3_DS_2.1.2,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_unexpect_expense,I9_SDG_1.4.2,I10_DS_5.1.1,0,0,4: Homogeneous cells,HH_disp_type,HH_depart_yr,HH_clan
I1_SDG_16.1.4,I2_DS_1.4.1,I3_DS_2.1.2,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_unexpect_expense,I9_SDG_1.4.2,I10_DS_5.1.1,0,0,4: Homogeneous cells,HH_disp_type,HH_gender,HH_clan
I1_SDG_16.1.4,I2_DS_1.4.1,I3_DS_2.1.2,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_unexpect_expense,I9_SDG_1.4.2,I10_DS_5.1.1,0,0,4: Homogeneous cells,HH_origin_district,HH_depart_yr,HH_gender
I1_SDG_16.1.4,I2_DS_1.4.1,I3_DS_2.1.2,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_unexpect_expense,I9_SDG_1.4.2,I10_DS_5.1.1,0,0,4: Homogeneous cells,HH_origin_district,HH_depart_yr,HH_clan
I1_SDG_16.1.4,I2_DS_1.4.1,I3_DS_2.1.2,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_unexpect_expense,I9_SDG_1.4.2,I10_DS_5.1.1,0,0,4: Homogeneous cells,HH_origin_district,HH_gender,HH_clan
I1_SDG_16.1.4,I2_DS_1.4.1,I3_DS_2.1.2,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_unexpect_expense,I9_SDG_1.4.2,I10_DS_5.1.1,0,0,4: Homogeneous cells,HH_depart_yr,HH_gender,HH_clan
I1_SDG_16.1.4,I2_DS_1.4.1,I3_DS_2.1.2,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_unexpect_expense,I9_SDG_1.4.2,I10_DS_5.1.1,454,0.483493077742279,5: Classifier/regression-based,NA,NA,NA
I1_SDG_16.1.4,I2_DS_1.4.1,I3_DS_2.1.2,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_unexpect_expense,I9_SDG_1.4.2,I10_DS_5.1.1,125.513671875,0.1336673821884984,6: Empirical cumulative density,NA,NA,NA
