I1,I3,I4,I5,I6,I7,I8,I10,Durable_Solutions,DS,DS_perc
I1_natural_disaster,I3_DS_2.1.2,I4_overcrowding,I5_health_insurance,I6_school_official,I7_job_satisfaction,I8_income_satisfaction,I10_DS_5.1.1,,1213482.1876490656,0.4868855713874322
I1_SDG_16.1.4,I3_DS_2.1.2,I4_water,I5_DS_2.1.8,I6_SDG_4.1.2,I7_unsafe_job,I8_written_job_contract,I10_DS_5.1.1,,841013.1858949004,0.3374397990563851
I1_SDG_16.1.4,I3_DS_2.1.2,I4_sanitation,I5_DS_2.1.8,I6_SDG_4.1.2,I7_job_satisfaction,I8_default_on_bills,I10_DS_5.1.1,,878320.5363153662,0.3524086307469519
I1_natural_disaster,I3_DS_2.1.2,I4_overcrowding,I5_health_insurance,I6_SDG_4.1.2,I7_employment_term,I8_income_satisfaction,I10_DS_5.1.1,,1367059.2824409804,0.5485053234619536
I1_SDG_16.1.4,I3_DS_2.1.2,I4_overcrowding,I5_DS_2.1.8,I6_literate,I7_in_employment,I8_written_job_contract,I10_DS_5.1.1,,782783.9771676589,0.31407648820505185
I1_SDG_16.1.4,I3_DS_2.1.2,I4_overcrowding,I5_DS_2.1.8,I6_literate,I7_employment_term,I8_default_on_bills,I10_DS_5.1.1,,1126308.0041713642,0.45190866561594994
I1_natural_disaster,I3_DS_2.1.2,I4_water,I5_DS_2.1.8,I6_SDG_4.1.2,I7_lfs_pax,I8_income_satisfaction,I10_DS_5.1.1,,721764.0224717186,0.28959344608827703
I1_SDG_16.1.4,I3_DS_2.1.2,I4_sanitation,I5_health_insurance,I6_literate,I7_employment_term,I8_SDG_8.5.2,I10_DS_5.1.1,,1009344.4622347387,0.40497937277017737
I1_SDG_16.1.4,I3_DS_2.1.2,I4_overcrowding,I5_DS_2.1.8,I6_literate,I7_job_satisfaction,I8_written_job_contract,I10_DS_5.1.1,,975786.3553318562,0.39151485040603395
I1_SDG_16.1.4,I3_DS_2.1.2,I4_SDG_11.1.1,I5_DS_2.1.8,I6_school_official,I7_lfs_pax,I8_written_lease,I10_DS_5.1.1,,599203.6021118198,0.24041851719045756
I1_natural_disaster,I3_DS_2.1.2,I4_water,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_written_lease,I10_DS_5.1.1,,916969.7861001801,0.3679158728446964
