I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,Durable_Solutions,DS,DS_perc
I1_SDG_16.1.4,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_inadequat,I5_med_vac,I6_curr_school,I7_SDG_8.5.2,I8_rent_problems,I9_hlp_access,I10_DS_5.1.1,,0.07421875,7.9040202342918e-5
I1_sec_saf,I2_DS_1.4.1,I3_meals,I4_hous_inadequat,I5_med_vac,I6_educ_child,I7_SDG_8.5.2,I8_SDG_1.2.1,I9_SDG_1.4.2,I10_doc_replace,,18.69140625,0.019905650958466452
I1_sec_saf,I2_DS_1.4.1,I3_meals,I4_hous_water,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_rent_problems,I9_hlp_doc,I10_doc_replace,,0.265625,2.828807241746539e-4
I1_sec_saf,I2_DS_1.4.1,I3_meals,I4_hous_elect,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_rent_problems,I9_SDG_1.4.2,I10_DS_5.1.1,,5.12109375,0.005453773961661342
I1_SDG_16.1.4,I2_DS_1.4.1,I3_meals,I4_hous_inadequat,I5_DS_2.1.8,I6_curr_school,I7_SDG_8.5.2,I8_SDG_1.2.1,I9_hlp_doc,I10_doc_birth,,1.0546875,0.001123202875399361
I1_sec_inc,I2_DS_1.4.1,I3_meals,I4_hous_water,I5_med_vac,I6_sec_school,I7_SDG_8.5.2,I8_assets_num,I9_SDG_1.4.2,I10_doc_birth,,4.96875,0.005291533546325879
I1_SDG_16.1.4,I2_DS_1.4.1,I3_meals,I4_hous_overcrowd,I5_med_birth,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_SDG_1.2.1,I9_hlp_access,I10_doc_replace,,0.900390625,9.588824547390842e-4
I1_SDG_16.1.4,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_water,I5_med_birth,I6_sec_school,I7_SDG_8.5.2,I8_assets_num,I9_hlp_access,I10_doc_replace,,0,0
I1_SDG_16.1.4,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_toilet,I5_med_vac,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_assets_num,I9_hlp_access,I10_doc_replace,,0.767578125,8.174420926517572e-4
I1_SDG_16.1.4,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_toilet,I5_DS_2.1.8,I6_sec_school,I7_SDG_8.5.2,I8_rent_problems,I9_hlp_restored,I10_DS_5.1.1,,0,0
I1_sec_inc,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_toilet,I5_med_vac,I6_educ_child,I7_SDG_8.5.2,I8_assets_num,I9_hlp_access,I10_DS_5.1.1,,0.587890625,6.26081602768903e-4
I1_sec_saf,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_elect,I5_med_birth,I6_curr_school,I7_SDG_8.5.2,I8_rent_problems,I9_hlp_restored,I10_DS_5.1.1,,0.01171875,1.2480031948881789e-5
I1_sec_inc,I2_DS_1.4.1,I3_meals,I4_hous_water,I5_med_vac,I6_educ_child,I7_SDG_8.5.2,I8_rent_problems,I9_hlp_doc,I10_doc_replace,,0.046875,4.9920127795527154e-5
I1_sec_saf,I2_DS_1.4.1,I3_meals,I4_hous_elect,I5_DS_2.1.8,I6_educ_child,I7_SDG_8.5.2,I8_assets_num,I9_hlp_access,I10_DS_5.1.1,,2.576171875,0.00274352702342918
I1_sec_saf,I2_DS_1.4.1,I3_meals,I4_hous_toilet,I5_DS_2.1.8,I6_educ_child,I7_SDG_8.5.2,I8_rent_problems,I9_hlp_access,I10_doc_replace,,0.322265625,3.432008785942492e-4
I1_sec_inc,I2_DS_1.4.1,I3_meals,I4_hous_overcrowd,I5_med_vac,I6_sec_school,I7_SDG_8.5.2,I8_rent_problems,I9_hlp_restored,I10_doc_birth,,0,0
I1_SDG_16.1.4,I2_DS_1.4.1,I3_meals,I4_hous_toilet,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_assets_num,I9_SDG_1.4.2,I10_DS_5.1.1,,70.59375,0.0751797124600639
I1_SDG_16.1.4,I2_DS_1.4.1,I3_meals,I4_hous_elect,I5_med_vac,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_assets_num,I9_hlp_access,I10_doc_replace,,0.615234375,6.55201677316294e-4
