I1,I2,I3,I4,I5,I6,I7,I8,I10,Durable_Solutions,DS,DS_perc
I1_SDG_16.1.4,I2_DS_1.4.1,I3_meals,I4_hous_inadequat,I5_med_birth,I6_curr_school,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_doc_birth,,162.2578125,0.17279852236421725
I1_sec_saf,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_overcrowd,I5_med_birth,I6_educ_child,I7_SDG_8.5.2,I8_assets_num,I10_doc_replace,,182.2421875,0.19408113684771033
I1_sec_inc,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_water,I5_med_birth,I6_educ_child,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_doc_birth,,283.314453125,0.30171933240149096
I1_sec_saf,I2_DS_1.4.1,I3_meals,I4_hous_toilet,I5_med_birth,I6_educ_child,I7_SDG_8.5.2,I8_assets_num,I10_doc_replace,,207.765625,0.22126264643237487
I1_sec_inc,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_toilet,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_assets_num,I10_DS_5.1.1,,316.6796875,0.33725206336528224
I1_sec_inc,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_overcrowd,I5_med_vac,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_DS_5.1.1,,267.3671875,0.2847360889243876
I1_sec_saf,I2_DS_1.4.1,I3_meals,I4_hous_inadequat,I5_med_vac,I6_curr_school,I7_SDG_8.5.2,I8_assets_num,I10_DS_5.1.1,,229.19921875,0.24408862486687966
I1_sec_inc,I2_DS_1.4.1,I3_meals,I4_hous_inadequat,I5_med_birth,I6_sec_school,I7_SDG_8.5.2,I8_rent_problems,I10_doc_replace,,174.751953125,0.18610431642705005
I1_sec_saf,I2_DS_1.4.1,I3_meals,I4_hous_elect,I5_med_birth,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_rent_problems,I10_DS_5.1.1,,197.2109375,0.210022297657082
I1_SDG_16.1.4,I2_DS_1.4.1,I3_meals,I4_hous_overcrowd,I5_med_birth,I6_sec_school,I7_SDG_8.5.2,I8_rent_problems,I10_doc_replace,,153.302734375,0.16326169794994674
I1_sec_inc,I2_DS_1.4.1,I3_meals,I4_hous_overcrowd,I5_med_vac,I6_educ_child,I7_SDG_8.5.2,I8_assets_num,I10_DS_5.1.1,,258.80078125,0.27561318556975506
I1_SDG_16.1.4,I2_DS_1.4.1,I3_meals,I4_hous_toilet,I5_med_birth,I6_educ_child,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_doc_replace,,173.3046875,0.18456303248136316
I1_SDG_16.1.4,I2_DS_1.4.1,I3_meals,I4_SDG_11.1.1,I5_med_vac,I6_educ_child,I7_SDG_8.5.2,I8_rent_problems,I10_doc_replace,,268.326171875,0.28575737153887115
I1_SDG_16.1.4,I2_DS_1.4.1,I3_meals,I4_hous_overcrowd,I5_DS_2.1.8,I6_curr_school,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_DS_5.1.1,,201.982421875,0.2151037506656017
I1_sec_saf,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_elect,I5_med_birth,I6_sec_school,I7_SDG_8.5.2,I8_rent_problems,I10_doc_replace,,193.970703125,0.2065715688232162
I1_sec_inc,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_inadequat,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_DS_5.1.1,,236.3359375,0.25168896432374865
I1_sec_saf,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_water,I5_med_vac,I6_educ_child,I7_SDG_8.5.2,I8_assets_num,I10_DS_5.1.1,,268.607421875,0.2860568923056443
I1_sec_saf,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_water,I5_med_vac,I6_sec_school,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_doc_birth,,290.193359375,0.30904511115548455
I1_sec_saf,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_overcrowd,I5_DS_2.1.8,I6_sec_school,I7_SDG_8.5.2,I8_assets_num,I10_doc_replace,,201.109375,0.21417398828541
I1_sec_inc,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_overcrowd,I5_med_birth,I6_sec_school,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_DS_5.1.1,,217.544921875,0.2316772330937167
I1_sec_saf,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_elect,I5_med_birth,I6_sec_school,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_doc_birth,,215.94140625,0.22996954872204473
I1_sec_saf,I2_DS_1.4.1,I3_DS_2.1.2,I4_SDG_11.1.1,I5_med_vac,I6_educ_child,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_doc_birth,,293.0390625,0.312075678913738
I1_sec_inc,I2_DS_1.4.1,I3_meals,I4_hous_inadequat,I5_med_birth,I6_educ_child,I7_SDG_8.5.2,I8_assets_num,I10_doc_replace,,203.287109375,0.2164931942225772
I1_sec_inc,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_elect,I5_med_birth,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_doc_birth,,254.072265625,0.27057749267838127
I1_sec_inc,I2_DS_1.4.1,I3_meals,I4_SDG_11.1.1,I5_DS_2.1.8,I6_curr_school,I7_SDG_8.5.2,I8_assets_num,I10_doc_replace,,340.4921875,0.36261148828541
I1_SDG_16.1.4,I2_DS_1.4.1,I3_meals,I4_hous_elect,I5_DS_2.1.8,I6_sec_school,I7_SDG_8.5.2,I8_assets_num,I10_DS_5.1.1,,195.21875,0.2079006922257721
