x,y,kappa
Pass/fail measure,1: Full composite,0.011704228721928623
Pass/fail measure,2: Composite at criterion level,0.034964961150168256
1: Full composite,2: Composite at criterion level,0.5196651013370108
Pass/fail measure,"4: Comparison of homogenous cells (gender,agegrp,marital_status)",0.005431056780984438
1: Full composite,"4: Comparison of homogenous cells (gender,agegrp,marital_status)",0.017476168188122795
2: Composite at criterion level,"4: Comparison of homogenous cells (gender,agegrp,marital_status)",0.03388201832168732
Pass/fail measure,"4: Comparison of homogenous cells (gender,agegrp,adm1)",0.025495188524250693
1: Full composite,"4: Comparison of homogenous cells (gender,agegrp,adm1)",0.07360679663530843
2: Composite at criterion level,"4: Comparison of homogenous cells (gender,agegrp,adm1)",0.1650981224945366
"4: Comparison of homogenous cells (gender,agegrp,marital_status)","4: Comparison of homogenous cells (gender,agegrp,adm1)",0.027724528817304778
Pass/fail measure,"4: Comparison of homogenous cells (gender,agegrp,disp_dur)",0.009266475718540019
1: Full composite,"4: Comparison of homogenous cells (gender,agegrp,disp_dur)",0.02487207268482876
2: Composite at criterion level,"4: Comparison of homogenous cells (gender,agegrp,disp_dur)",0.06234508920312041
"4: Comparison of homogenous cells (gender,agegrp,marital_status)","4: Comparison of homogenous cells (gender,agegrp,disp_dur)",0.04682688941018138
"4: Comparison of homogenous cells (gender,agegrp,adm1)","4: Comparison of homogenous cells (gender,agegrp,disp_dur)",0.09130421989601172
Pass/fail measure,"4: Comparison of homogenous cells (gender,agegrp,ethnic_minority)",0.01176987272180871
1: Full composite,"4: Comparison of homogenous cells (gender,agegrp,ethnic_minority)",0.01141759371674652
2: Composite at criterion level,"4: Comparison of homogenous cells (gender,agegrp,ethnic_minority)",0.020994862446041054
"4: Comparison of homogenous cells (gender,agegrp,marital_status)","4: Comparison of homogenous cells (gender,agegrp,ethnic_minority)",0.026031753880932776
"4: Comparison of homogenous cells (gender,agegrp,adm1)","4: Comparison of homogenous cells (gender,agegrp,ethnic_minority)",0.04043434179713277
"4: Comparison of homogenous cells (gender,agegrp,disp_dur)","4: Comparison of homogenous cells (gender,agegrp,ethnic_minority)",0.04107963897162454
Pass/fail measure,"4: Comparison of homogenous cells (gender,agegrp,peasant)",0.0014968522990622556
1: Full composite,"4: Comparison of homogenous cells (gender,agegrp,peasant)",0.02144967232060848
2: Composite at criterion level,"4: Comparison of homogenous cells (gender,agegrp,peasant)",0.02869617957167951
"4: Comparison of homogenous cells (gender,agegrp,marital_status)","4: Comparison of homogenous cells (gender,agegrp,peasant)",0.04553742149606634
"4: Comparison of homogenous cells (gender,agegrp,adm1)","4: Comparison of homogenous cells (gender,agegrp,peasant)",0.04239013526474228
"4: Comparison of homogenous cells (gender,agegrp,disp_dur)","4: Comparison of homogenous cells (gender,agegrp,peasant)",0.06253525548498508
"4: Comparison of homogenous cells (gender,agegrp,ethnic_minority)","4: Comparison of homogenous cells (gender,agegrp,peasant)",0.11755291440542785
Pass/fail measure,"4: Comparison of homogenous cells (gender,marital_status,adm1)",0.02136213294120072
1: Full composite,"4: Comparison of homogenous cells (gender,marital_status,adm1)",0.07999129998802722
2: Composite at criterion level,"4: Comparison of homogenous cells (gender,marital_status,adm1)",0.19430560426510177
"4: Comparison of homogenous cells (gender,agegrp,marital_status)","4: Comparison of homogenous cells (gender,marital_status,adm1)",0.056756048267313654
