x,y,kappa
Pass/fail measure,1: Full composite,0.008698158677855996
Pass/fail measure,2: Composite at criterion level,0.0475915638936153
1: Full composite,2: Composite at criterion level,0.5014502462293247
Pass/fail measure,"4: Comparison of homogenous cells (gender,agegrp,marital_status)",0.004643498640691738
1: Full composite,"4: Comparison of homogenous cells (gender,agegrp,marital_status)",0.015434933756384625
2: Composite at criterion level,"4: Comparison of homogenous cells (gender,agegrp,marital_status)",0.03833071687074938
Pass/fail measure,"4: Comparison of homogenous cells (gender,agegrp,adm1)",0.026572017563570163
1: Full composite,"4: Comparison of homogenous cells (gender,agegrp,adm1)",0.06665186198507325
2: Composite at criterion level,"4: Comparison of homogenous cells (gender,agegrp,adm1)",0.17094572566332442
"4: Comparison of homogenous cells (gender,agegrp,marital_status)","4: Comparison of homogenous cells (gender,agegrp,adm1)",0.03178863589168828
Pass/fail measure,"4: Comparison of homogenous cells (gender,agegrp,disp_dur)",0.007872489992292895
1: Full composite,"4: Comparison of homogenous cells (gender,agegrp,disp_dur)",0.02346586226199559
2: Composite at criterion level,"4: Comparison of homogenous cells (gender,agegrp,disp_dur)",0.0641704826612761
"4: Comparison of homogenous cells (gender,agegrp,marital_status)","4: Comparison of homogenous cells (gender,agegrp,disp_dur)",0.04935475717657801
"4: Comparison of homogenous cells (gender,agegrp,adm1)","4: Comparison of homogenous cells (gender,agegrp,disp_dur)",0.09301713954929565
Pass/fail measure,"4: Comparison of homogenous cells (gender,agegrp,ethnic_minority)",0.009129954822360118
1: Full composite,"4: Comparison of homogenous cells (gender,agegrp,ethnic_minority)",0.009691247457138653
2: Composite at criterion level,"4: Comparison of homogenous cells (gender,agegrp,ethnic_minority)",0.020148207972923424
"4: Comparison of homogenous cells (gender,agegrp,marital_status)","4: Comparison of homogenous cells (gender,agegrp,ethnic_minority)",0.029103797030066846
"4: Comparison of homogenous cells (gender,agegrp,adm1)","4: Comparison of homogenous cells (gender,agegrp,ethnic_minority)",0.04083662310533159
"4: Comparison of homogenous cells (gender,agegrp,disp_dur)","4: Comparison of homogenous cells (gender,agegrp,ethnic_minority)",0.042369318536279094
Pass/fail measure,"4: Comparison of homogenous cells (gender,agegrp,peasant)",0.003370870778405798
1: Full composite,"4: Comparison of homogenous cells (gender,agegrp,peasant)",0.0207098255506987
2: Composite at criterion level,"4: Comparison of homogenous cells (gender,agegrp,peasant)",0.027645006615504824
"4: Comparison of homogenous cells (gender,agegrp,marital_status)","4: Comparison of homogenous cells (gender,agegrp,peasant)",0.047659503722825236
"4: Comparison of homogenous cells (gender,agegrp,adm1)","4: Comparison of homogenous cells (gender,agegrp,peasant)",0.04290493646935463
"4: Comparison of homogenous cells (gender,agegrp,disp_dur)","4: Comparison of homogenous cells (gender,agegrp,peasant)",0.07431031327135572
"4: Comparison of homogenous cells (gender,agegrp,ethnic_minority)","4: Comparison of homogenous cells (gender,agegrp,peasant)",0.1217818242508037
Pass/fail measure,"4: Comparison of homogenous cells (gender,marital_status,adm1)",0.026272516473490277
1: Full composite,"4: Comparison of homogenous cells (gender,marital_status,adm1)",0.07936269510698421
2: Composite at criterion level,"4: Comparison of homogenous cells (gender,marital_status,adm1)",0.19955806342465485
"4: Comparison of homogenous cells (gender,agegrp,marital_status)","4: Comparison of homogenous cells (gender,marital_status,adm1)",0.060515207078214894
"4: Comparison of homogenous cells (gender,agegrp,adm1)","4: Comparison of homogenous cells (gender,marital_status,adm1)",0.3363492205767352
"4: Comparison of homogenous cells (gender,agegrp,disp_dur)","4: Comparison of homogenous cells (gender,marital_status,adm1)",0.07263549469619629
"4: Comparison of homogenous cells (gender,agegrp,ethnic_minority)","4: Comparison of homogenous cells (gender,marital_status,adm1)",0.030347101627400303
"4: Comparison of homogenous cells (gender,agegrp,peasant)","4: Comparison of homogenous cells (gender,marital_status,adm1)",0.032553080693362005
Pass/fail measure,"4: Comparison of homogenous cells (gender,marital_status,disp_dur)",0.013088073310480423
1: Full composite,"4: Comparison of homogenous cells (gender,marital_status,disp_dur)",0.042455738551755995
2: Composite at criterion level,"4: Comparison of homogenous cells (gender,marital_status,disp_dur)",0.11261262113438496
"4: Comparison of homogenous cells (gender,agegrp,marital_status)","4: Comparison of homogenous cells (gender,marital_status,disp_dur)",0.09890685112822752
"4: Comparison of homogenous cells (gender,agegrp,adm1)","4: Comparison of homogenous cells (gender,marital_status,disp_dur)",0.12299899379579114
