x,y,kappa
Pass/fail measure,1: Full composite,0.02118661230563163
Pass/fail measure,2: Composite at criterion level,0.27885103877686856
1: Full composite,2: Composite at criterion level,0.1553279343643855
Pass/fail measure,"4: Comparison of homogenous cells (disp_type,gender,origin_district)",0.07059251144059521
1: Full composite,"4: Comparison of homogenous cells (disp_type,gender,origin_district)",0.006921228463228342
2: Composite at criterion level,"4: Comparison of homogenous cells (disp_type,gender,origin_district)",0.023729646198856688
Pass/fail measure,"4: Comparison of homogenous cells (disp_type,gender,clan)",0.010287805080154819
1: Full composite,"4: Comparison of homogenous cells (disp_type,gender,clan)",0.001630483373332849
2: Composite at criterion level,"4: Comparison of homogenous cells (disp_type,gender,clan)",0.004730102007551943
"4: Comparison of homogenous cells (disp_type,gender,origin_district)","4: Comparison of homogenous cells (disp_type,gender,clan)",-0.0011038496636665218
Pass/fail measure,"4: Comparison of homogenous cells (disp_type,gender,depart_yr)",0.004115009180154729
1: Full composite,"4: Comparison of homogenous cells (disp_type,gender,depart_yr)",0.002108383470874935
2: Composite at criterion level,"4: Comparison of homogenous cells (disp_type,gender,depart_yr)",0.0022199268436533023
"4: Comparison of homogenous cells (disp_type,gender,origin_district)","4: Comparison of homogenous cells (disp_type,gender,depart_yr)",-4.442376526070834e-4
"4: Comparison of homogenous cells (disp_type,gender,clan)","4: Comparison of homogenous cells (disp_type,gender,depart_yr)",-3.990234169058774e-4
Pass/fail measure,"4: Comparison of homogenous cells (disp_type,origin_district,clan)",0.05602964968399036
1: Full composite,"4: Comparison of homogenous cells (disp_type,origin_district,clan)",0.006974410850328113
2: Composite at criterion level,"4: Comparison of homogenous cells (disp_type,origin_district,clan)",0.013362143136468418
"4: Comparison of homogenous cells (disp_type,gender,origin_district)","4: Comparison of homogenous cells (disp_type,origin_district,clan)",0.18037634590047583
"4: Comparison of homogenous cells (disp_type,gender,clan)","4: Comparison of homogenous cells (disp_type,origin_district,clan)",0.11785520093791295
"4: Comparison of homogenous cells (disp_type,gender,depart_yr)","4: Comparison of homogenous cells (disp_type,origin_district,clan)",-1.7099119788463e-4
Pass/fail measure,"4: Comparison of homogenous cells (disp_type,origin_district,depart_yr)",0.04066922771274258
1: Full composite,"4: Comparison of homogenous cells (disp_type,origin_district,depart_yr)",0.005775635298336194
2: Composite at criterion level,"4: Comparison of homogenous cells (disp_type,origin_district,depart_yr)",0.019038759009234935
"4: Comparison of homogenous cells (disp_type,gender,origin_district)","4: Comparison of homogenous cells (disp_type,origin_district,depart_yr)",0.10218104868819772
"4: Comparison of homogenous cells (disp_type,gender,clan)","4: Comparison of homogenous cells (disp_type,origin_district,depart_yr)",0.004463600589452923
"4: Comparison of homogenous cells (disp_type,gender,depart_yr)","4: Comparison of homogenous cells (disp_type,origin_district,depart_yr)",0.08646236727560354
"4: Comparison of homogenous cells (disp_type,origin_district,clan)","4: Comparison of homogenous cells (disp_type,origin_district,depart_yr)",0.1939065249860772
Pass/fail measure,"4: Comparison of homogenous cells (disp_type,clan,depart_yr)",0.010555703851395893
1: Full composite,"4: Comparison of homogenous cells (disp_type,clan,depart_yr)",0.0016996148621418105
2: Composite at criterion level,"4: Comparison of homogenous cells (disp_type,clan,depart_yr)",0.005107218131112956
