x,y,kappa
Pass/fail measure,1: Full composite,0.7658464660510736
Pass/fail measure,2: Composite at criterion level,1
1: Full composite,2: Composite at criterion level,0.7520024906847727
Pass/fail measure,"4: Comparison of homogenous cells (region,urban,head_gender)",0.22317626336442664
1: Full composite,"4: Comparison of homogenous cells (region,urban,head_gender)",0.1609286448376886
2: Composite at criterion level,"4: Comparison of homogenous cells (region,urban,head_gender)",0.21885063548203898
Pass/fail measure,"4: Comparison of homogenous cells (region,urban,years_disp)",0.37657268756821977
1: Full composite,"4: Comparison of homogenous cells (region,urban,years_disp)",0.28040287070257286
2: Composite at criterion level,"4: Comparison of homogenous cells (region,urban,years_disp)",0.37158225345208384
"4: Comparison of homogenous cells (region,urban,head_gender)","4: Comparison of homogenous cells (region,urban,years_disp)",0.322503818507093
Pass/fail measure,"4: Comparison of homogenous cells (region,urban,place_of_origin)",0.5705170620397713
1: Full composite,"4: Comparison of homogenous cells (region,urban,place_of_origin)",0.42042164474526916
2: Composite at criterion level,"4: Comparison of homogenous cells (region,urban,place_of_origin)",0.5714582669225242
"4: Comparison of homogenous cells (region,urban,head_gender)","4: Comparison of homogenous cells (region,urban,place_of_origin)",0.31023993190478855
"4: Comparison of homogenous cells (region,urban,years_disp)","4: Comparison of homogenous cells (region,urban,place_of_origin)",0.3624213613135889
Pass/fail measure,"4: Comparison of homogenous cells (region,urban,ethnic_minority)",0.1535001532157207
1: Full composite,"4: Comparison of homogenous cells (region,urban,ethnic_minority)",0.12356782900246625
2: Composite at criterion level,"4: Comparison of homogenous cells (region,urban,ethnic_minority)",0.15043757506481925
"4: Comparison of homogenous cells (region,urban,head_gender)","4: Comparison of homogenous cells (region,urban,ethnic_minority)",0.3285052309075936
"4: Comparison of homogenous cells (region,urban,years_disp)","4: Comparison of homogenous cells (region,urban,ethnic_minority)",0.29608124722926565
"4: Comparison of homogenous cells (region,urban,place_of_origin)","4: Comparison of homogenous cells (region,urban,ethnic_minority)",0.18631051532086657
Pass/fail measure,"4: Comparison of homogenous cells (region,head_gender,years_disp)",0.3991000449463688
1: Full composite,"4: Comparison of homogenous cells (region,head_gender,years_disp)",0.3037169415752835
2: Composite at criterion level,"4: Comparison of homogenous cells (region,head_gender,years_disp)",0.3936323620468474
"4: Comparison of homogenous cells (region,urban,head_gender)","4: Comparison of homogenous cells (region,head_gender,years_disp)",0.2993647152367537
"4: Comparison of homogenous cells (region,urban,years_disp)","4: Comparison of homogenous cells (region,head_gender,years_disp)",0.5683739878657175
"4: Comparison of homogenous cells (region,urban,place_of_origin)","4: Comparison of homogenous cells (region,head_gender,years_disp)",0.35455701629065167
"4: Comparison of homogenous cells (region,urban,ethnic_minority)","4: Comparison of homogenous cells (region,head_gender,years_disp)",0.20030575281186122
Pass/fail measure,"4: Comparison of homogenous cells (region,head_gender,place_of_origin)",0.59643966807626
1: Full composite,"4: Comparison of homogenous cells (region,head_gender,place_of_origin)",0.4346320770860129
2: Composite at criterion level,"4: Comparison of homogenous cells (region,head_gender,place_of_origin)",0.5953260602623035
"4: Comparison of homogenous cells (region,urban,head_gender)","4: Comparison of homogenous cells (region,head_gender,place_of_origin)",0.31259770599924946
"4: Comparison of homogenous cells (region,urban,years_disp)","4: Comparison of homogenous cells (region,head_gender,place_of_origin)",0.3467352528622949
"4: Comparison of homogenous cells (region,urban,place_of_origin)","4: Comparison of homogenous cells (region,head_gender,place_of_origin)",0.7604867772874558
"4: Comparison of homogenous cells (region,urban,ethnic_minority)","4: Comparison of homogenous cells (region,head_gender,place_of_origin)",0.17424067652035585
"4: Comparison of homogenous cells (region,head_gender,years_disp)","4: Comparison of homogenous cells (region,head_gender,place_of_origin)",0.3908617210639919
Pass/fail measure,"4: Comparison of homogenous cells (region,head_gender,ethnic_minority)",0.19681172755296636
1: Full composite,"4: Comparison of homogenous cells (region,head_gender,ethnic_minority)",0.1566884168252824
2: Composite at criterion level,"4: Comparison of homogenous cells (region,head_gender,ethnic_minority)",0.18813717580597702
"4: Comparison of homogenous cells (region,urban,head_gender)","4: Comparison of homogenous cells (region,head_gender,ethnic_minority)",0.4628477735872392
"4: Comparison of homogenous cells (region,urban,years_disp)","4: Comparison of homogenous cells (region,head_gender,ethnic_minority)",0.24595488956226982
"4: Comparison of homogenous cells (region,urban,place_of_origin)","4: Comparison of homogenous cells (region,head_gender,ethnic_minority)",0.23288334752901568
"4: Comparison of homogenous cells (region,urban,ethnic_minority)","4: Comparison of homogenous cells (region,head_gender,ethnic_minority)",0.4425089228959698
"4: Comparison of homogenous cells (region,head_gender,years_disp)","4: Comparison of homogenous cells (region,head_gender,ethnic_minority)",0.3007725839504136
"4: Comparison of homogenous cells (region,head_gender,place_of_origin)","4: Comparison of homogenous cells (region,head_gender,ethnic_minority)",0.234176319698348
Pass/fail measure,"4: Comparison of homogenous cells (region,years_disp,place_of_origin)",0.687043465192893
1: Full composite,"4: Comparison of homogenous cells (region,years_disp,place_of_origin)",0.5129574989387707
2: Composite at criterion level,"4: Comparison of homogenous cells (region,years_disp,place_of_origin)",0.6803195263248425
